permit_number;permit_type;filed_date;issued_date;completed_date;current_status;neighborhood;estimated_cost;days_to_issue;days_to_complete;year
201706098934;otc alterations permit;2017-06-09;2017-06-09;2017-06-30;complete;Outer Mission;11000.0;0.0;21.0;2017
201706098936;otc alterations permit;2017-06-09;2017-06-09;2017-06-30;complete;Outer Mission;15000.0;0.0;21.0;2017
201706098957;otc alterations permit;2017-06-09;2017-06-09;2017-07-05;complete;Oceanview/Merced/Ingleside;6682.0;0.0;26.0;2017
201706098997;otc alterations permit;2017-06-09;2017-06-09;NULL;issued;Marina;48000.0;0.0;NULL;2017
201706098994;additions alterations or repairs;2017-06-09;NULL;NULL;filed;Western Addition;20000.0;NULL;NULL;2017
M795607;otc alterations permit;2017-06-09;2017-06-09;NULL;issued;Pacific Heights;NULL;0.0;NULL;2017
M795627;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2017
201706129002;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Inner Sunset;3000.0;0.0;NULL;2017
201706129005;additions alterations or repairs;2017-06-12;2017-06-26;NULL;issued;Financial District/South Beach;524000.0;14.0;NULL;2017
201706129004;sign - erect;2017-06-12;2017-06-27;NULL;issued;Mission;4000.0;15.0;NULL;2017
201706129006;sign - erect;2017-06-12;2017-06-27;NULL;issued;Financial District/South Beach;3000.0;15.0;NULL;2017
M795648;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Noe Valley;NULL;0.0;NULL;2017
M795647;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Russian Hill;NULL;0.0;NULL;2017
201706129008;additions alterations or repairs;2017-06-12;NULL;NULL;filed;Russian Hill;8000.0;NULL;NULL;2017
201706129011;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Noe Valley;15850.0;0.0;NULL;2017
201706129012;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;South of Market;34365.0;0.0;NULL;2017
M795667;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Marina;NULL;0.0;NULL;2017
201706129014;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Outer Mission;50000.0;0.0;NULL;2017
201706129016;otc alterations permit;2017-06-12;NULL;NULL;filed;Lone Mountain/USF;85000.0;NULL;NULL;2017
M795687;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Mission Bay;NULL;0.0;NULL;2017
201706129007;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Mission;18400.0;0.0;NULL;2017
201706129019;otc alterations permit;2017-06-12;2017-06-12;2017-06-19;complete;Western Addition;500.0;0.0;7.0;2017
M795707;otc alterations permit;2017-06-12;2017-06-12;NULL;issued;Western Addition;NULL;0.0;NULL;2017
