permit_number;permit_type;filed_date;issued_date;completed_date;current_status;neighborhood;estimated_cost;days_to_issue;days_to_complete;year
201303132105;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Pacific Heights;1.0;0.0;NULL;2013
201303132106;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Mission;22000.0;0.0;NULL;2013
M377587;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Western Addition;NULL;0.0;NULL;2013
201303132107;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Pacific Heights;1.0;0.0;NULL;2013
201303132108;otc alterations permit;2013-03-13;2013-03-13;2014-03-13;complete;Sunset/Parkside;438.0;0.0;365.0;2013
201303132109;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Marina;10000.0;0.0;NULL;2013
201303132110;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Pacific Heights;25000.0;0.0;NULL;2013
M377607;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Western Addition;NULL;0.0;NULL;2013
M377608;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Western Addition;NULL;0.0;NULL;2013
201303132112;otc alterations permit;2013-03-13;2013-03-13;2013-04-24;complete;Noe Valley;3000.0;0.0;42.0;2013
201303132111;otc alterations permit;2013-03-13;2013-03-13;2013-06-07;complete;Chinatown;3000.0;0.0;86.0;2013
201303132113;otc alterations permit;2013-03-13;NULL;NULL;filed;Financial District/South Beach;NULL;NULL;NULL;2013
201303132114;otc alterations permit;2013-03-13;2013-03-13;2013-08-05;complete;Sunset/Parkside;2050.0;0.0;145.0;2013
201303132115;otc alterations permit;2013-03-13;2013-04-04;2013-08-01;complete;Pacific Heights;19800.0;22.0;141.0;2013
201303132116;otc alterations permit;2013-03-13;2013-11-18;2014-04-21;complete;Financial District/South Beach;10000.0;250.0;404.0;2013
201303132117;otc alterations permit;2013-03-13;2013-03-13;2013-04-09;complete;Chinatown;26000.0;0.0;27.0;2013
M377627;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Presidio Heights;NULL;0.0;NULL;2013
201303132118;otc alterations permit;2013-03-13;2013-11-18;2014-05-15;complete;Financial District/South Beach;10000.0;250.0;428.0;2013
201303132120;otc alterations permit;2013-03-13;NULL;NULL;withdrawn;Haight Ashbury;15000.0;NULL;NULL;2013
201303132121;otc alterations permit;2013-03-13;2013-03-13;2013-06-13;complete;Tenderloin;65000.0;0.0;92.0;2013
201303132122;otc alterations permit;2013-03-13;2013-03-19;2014-04-23;complete;West of Twin Peaks;35000.0;6.0;406.0;2013
201303132123;otc alterations permit;2013-03-13;2013-04-09;2013-04-30;complete;Noe Valley;8000.0;27.0;48.0;2013
201303132101;additions alterations or repairs;2013-03-13;2014-02-04;2014-07-29;complete;Bernal Heights;10000.0;328.0;503.0;2013
201303132124;otc alterations permit;2013-03-13;2013-04-03;2013-08-07;complete;Potrero Hill;40000.0;21.0;147.0;2013
201303132125;otc alterations permit;2013-03-13;2013-03-13;2013-03-18;complete;Mission;12800.0;0.0;5.0;2013
201303132126;otc alterations permit;2013-03-13;NULL;NULL;filed;Western Addition;1.0;NULL;NULL;2013
201303132127;otc alterations permit;2013-03-13;2013-03-13;2013-04-25;complete;Hayes Valley;27000.0;0.0;43.0;2013
201303132128;additions alterations or repairs;2013-03-13;2013-06-24;2013-10-24;complete;Mission;1800000.0;103.0;225.0;2013
201303132129;otc alterations permit;2013-03-13;2013-03-13;2014-08-29;complete;Outer Richmond;700.0;0.0;534.0;2013
201303132119;otc alterations permit;2013-03-13;2013-03-29;2014-06-03;complete;Noe Valley;150000.0;16.0;447.0;2013
201303132130;otc alterations permit;2013-03-13;2013-03-13;2013-05-03;complete;Mission;5000.0;0.0;51.0;2013
M377647;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Mission;NULL;0.0;NULL;2013
201303132131;otc alterations permit;2013-03-13;2013-03-26;2013-04-03;complete;Glen Park;4000.0;13.0;21.0;2013
201303132132;otc alterations permit;2013-03-13;2013-03-19;NULL;issued;Noe Valley;20000.0;6.0;NULL;2013
201303132133;otc alterations permit;2013-03-13;2013-04-01;2013-07-26;complete;Financial District/South Beach;2071000.0;19.0;135.0;2013
201303132134;otc alterations permit;2013-03-13;2013-03-18;2014-01-10;complete;Oceanview/Merced/Ingleside;25000.0;5.0;303.0;2013
201303132135;sign - erect;2013-03-13;2013-09-23;2013-10-16;complete;Tenderloin;3500.0;194.0;217.0;2013
201303132136;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Mission;12000.0;0.0;NULL;2013
M377667;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Outer Richmond;NULL;0.0;NULL;2013
201303132138;sign - erect;2013-03-13;2013-09-23;2013-10-16;complete;Tenderloin;8000.0;194.0;217.0;2013
201303132137;additions alterations or repairs;2013-03-13;2013-11-13;2014-05-23;complete;Financial District/South Beach;10000.0;245.0;436.0;2013
201303132139;otc alterations permit;2013-03-13;2013-03-13;2013-04-23;complete;Sunset/Parkside;10000.0;0.0;41.0;2013
201303132141;sign - erect;2013-03-13;2013-09-23;2013-10-16;complete;Tenderloin;85.0;194.0;217.0;2013
201303132142;otc alterations permit;2013-03-13;2013-03-13;2013-04-23;complete;Sunset/Parkside;3000.0;0.0;41.0;2013
M377687;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Inner Sunset;NULL;0.0;NULL;2013
201303132140;additions alterations or repairs;2013-03-13;2013-11-13;2014-05-07;complete;Nob Hill;10000.0;245.0;420.0;2013
M377707;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Haight Ashbury;NULL;0.0;NULL;2013
201303132144;otc alterations permit;2013-03-13;2013-03-13;2013-07-05;complete;Unknown;12000.0;0.0;114.0;2013
201303132143;otc alterations permit;2013-03-13;2013-03-13;2013-04-22;complete;Bayview Hunters Point;1.0;0.0;40.0;2013
201303132145;otc alterations permit;2013-03-13;2013-03-14;2013-04-03;complete;Outer Mission;1.0;1.0;21.0;2013
201303132146;otc alterations permit;2013-03-13;2013-03-14;2013-09-06;complete;Financial District/South Beach;90000.0;1.0;177.0;2013
201303132147;otc alterations permit;2013-03-13;2013-03-19;2013-08-01;complete;Noe Valley;40000.0;6.0;141.0;2013
201303132148;otc alterations permit;2013-03-13;2013-03-18;2013-05-10;complete;Hayes Valley;25000.0;5.0;58.0;2013
201303132149;otc alterations permit;2013-03-13;2013-03-13;2013-03-29;complete;Pacific Heights;1.0;0.0;16.0;2013
201303132151;otc alterations permit;2013-03-13;2013-03-15;NULL;issued;South of Market;25000.0;2.0;NULL;2013
201303132150;otc alterations permit;2013-03-13;2013-03-19;2013-06-14;complete;Financial District/South Beach;2000.0;6.0;93.0;2013
201303132153;otc alterations permit;2013-03-13;2013-03-15;NULL;issued;Financial District/South Beach;2500.0;2.0;NULL;2013
201303132152;otc alterations permit;2013-03-13;2013-03-15;2013-05-16;complete;Financial District/South Beach;2000.0;2.0;64.0;2013
201303132154;otc alterations permit;2013-03-13;2013-04-17;2014-08-12;complete;Unknown;20000.0;35.0;517.0;2013
201303132155;otc alterations permit;2013-03-13;2013-03-26;2013-04-15;complete;Financial District/South Beach;45000.0;13.0;33.0;2013
201303132157;otc alterations permit;2013-03-13;2013-03-14;2013-04-23;complete;West of Twin Peaks;3000.0;1.0;41.0;2013
201303132158;otc alterations permit;2013-03-13;2013-03-14;2013-04-04;complete;Mission;500.0;1.0;22.0;2013
201303132159;otc alterations permit;2013-03-13;NULL;NULL;filed;Financial District/South Beach;80000.0;NULL;NULL;2013
201303132160;otc alterations permit;2013-03-13;2013-03-19;2013-10-08;complete;Financial District/South Beach;55000.0;6.0;209.0;2013
201303132161;otc alterations permit;2013-03-13;2013-03-13;NULL;issued;Sunset/Parkside;4000.0;0.0;NULL;2013
201303142164;otc alterations permit;2013-03-14;2013-04-30;2013-10-25;complete;Potrero Hill;90000.0;47.0;225.0;2013
201303142165;otc alterations permit;2013-03-14;2013-03-14;2013-03-19;complete;Financial District/South Beach;2056.0;0.0;5.0;2013
201303142166;otc alterations permit;2013-03-14;2013-03-14;2013-03-29;complete;Hayes Valley;13880.0;0.0;15.0;2013
201303142168;otc alterations permit;2013-03-14;2013-03-18;2013-08-22;complete;Inner Sunset;40000.0;4.0;161.0;2013
201303142169;otc alterations permit;2013-03-14;2013-03-21;2014-05-06;complete;Financial District/South Beach;1.0;7.0;418.0;2013
201303142170;otc alterations permit;2013-03-14;2013-03-27;2013-10-22;complete;Inner Richmond;28000.0;13.0;222.0;2013
201303142173;otc alterations permit;2013-03-14;2013-03-14;2013-07-15;complete;West of Twin Peaks;50000.0;0.0;123.0;2013
201303142172;otc alterations permit;2013-03-14;2013-03-29;2013-08-12;complete;Financial District/South Beach;50000.0;15.0;151.0;2013
201303142174;otc alterations permit;2013-03-14;2013-03-15;2013-06-27;complete;Outer Richmond;3700.0;1.0;105.0;2013
201303142167;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Marina;7500.0;0.0;NULL;2013
201303142171;otc alterations permit;2013-03-14;2013-03-14;2013-03-28;complete;North Beach;3500.0;0.0;14.0;2013
201303142175;otc alterations permit;2013-03-14;2013-03-28;2013-08-23;complete;South of Market;10000.0;14.0;162.0;2013
201303142176;otc alterations permit;2013-03-14;2013-03-29;2013-08-12;complete;Financial District/South Beach;75000.0;15.0;151.0;2013
201303142177;otc alterations permit;2013-03-14;2013-03-14;2013-06-13;complete;Pacific Heights;15000.0;0.0;91.0;2013
201303142178;otc alterations permit;2013-03-14;2013-03-14;2013-04-24;complete;Sunset/Parkside;2500.0;0.0;41.0;2013
201303142179;otc alterations permit;2013-03-14;2013-03-28;2013-08-23;complete;South of Market;8500.0;14.0;162.0;2013
M377747;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Inner Richmond;NULL;0.0;NULL;2013
201303142180;otc alterations permit;2013-03-14;2013-03-14;2013-04-11;complete;Outer Richmond;8000.0;0.0;28.0;2013
201303142182;otc alterations permit;2013-03-14;2013-04-17;2013-08-05;complete;Financial District/South Beach;1.0;34.0;144.0;2013
201303142184;otc alterations permit;2013-03-14;2013-03-14;2013-05-06;complete;Haight Ashbury;1000.0;0.0;53.0;2013
201303142181;otc alterations permit;2013-03-14;2013-03-14;2013-05-13;complete;North Beach;5000.0;0.0;60.0;2013
201303142183;otc alterations permit;2013-03-14;2013-03-14;2013-04-18;complete;Haight Ashbury;1800.0;0.0;35.0;2013
201303142186;otc alterations permit;2013-03-14;2013-03-14;2014-06-13;complete;Inner Richmond;8000.0;0.0;456.0;2013
201303142188;otc alterations permit;2013-03-14;2013-04-15;2013-10-08;complete;Nob Hill;12000.0;32.0;208.0;2013
201303142189;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Noe Valley;1.0;0.0;NULL;2013
201303142187;additions alterations or repairs;2013-03-14;2014-07-17;2017-05-30;complete;Outer Richmond;180000.0;490.0;1538.0;2013
201303142190;otc alterations permit;2013-03-14;2013-03-14;2013-05-29;complete;Sunset/Parkside;15000.0;0.0;76.0;2013
M377767;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;South of Market;NULL;0.0;NULL;2013
201303142191;otc alterations permit;2013-03-14;2013-03-14;2013-06-21;complete;Marina;30000.0;0.0;99.0;2013
M377787;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Marina;NULL;0.0;NULL;2013
M377807;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2013
201303142192;otc alterations permit;2013-03-14;2013-03-14;2013-05-20;complete;Presidio Heights;25000.0;0.0;67.0;2013
201303142193;otc alterations permit;2013-03-14;2013-03-14;2015-04-24;complete;Haight Ashbury;10000.0;0.0;771.0;2013
201303142194;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Financial District/South Beach;500.0;0.0;NULL;2013
M377827;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Pacific Heights;NULL;0.0;NULL;2013
201303142195;additions alterations or repairs;2013-03-14;NULL;NULL;cancelled;Haight Ashbury;145000.0;NULL;NULL;2013
201303142196;otc alterations permit;2013-03-14;NULL;NULL;withdrawn;Bernal Heights;1.0;NULL;NULL;2013
201303142198;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Financial District/South Beach;9378.0;0.0;NULL;2013
201303142197;otc alterations permit;2013-03-14;2013-03-21;2013-10-24;complete;Pacific Heights;1.0;7.0;224.0;2013
M377847;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Excelsior;NULL;0.0;NULL;2013
M377867;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Haight Ashbury;NULL;0.0;NULL;2013
201303142201;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Oceanview/Merced/Ingleside;8340.0;0.0;NULL;2013
201303142200;otc alterations permit;2013-03-14;2013-05-22;2014-04-10;complete;Western Addition;250000.0;69.0;392.0;2013
201303142202;otc alterations permit;2013-03-14;2013-03-14;2013-05-21;complete;Bernal Heights;14000.0;0.0;68.0;2013
201303142199;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Mission;8500.0;0.0;NULL;2013
201303142204;otc alterations permit;2013-03-14;NULL;NULL;filed;Excelsior;4500.0;NULL;NULL;2013
M377887;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Pacific Heights;NULL;0.0;NULL;2013
M377907;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Haight Ashbury;NULL;0.0;NULL;2013
201303142205;otc alterations permit;2013-03-14;2013-03-18;2014-05-28;complete;Russian Hill;40000.0;4.0;440.0;2013
201303142206;additions alterations or repairs;2013-03-14;2014-05-27;NULL;issued;Financial District/South Beach;8700.0;439.0;NULL;2013
M377927;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2013
201303142208;otc alterations permit;2013-03-14;2013-03-14;2013-04-09;complete;Oceanview/Merced/Ingleside;5000.0;0.0;26.0;2013
201303142211;additions alterations or repairs;2013-03-14;2013-04-30;2013-06-27;complete;South of Market;58000.0;47.0;105.0;2013
201303142209;additions alterations or repairs;2013-03-14;2013-07-19;2014-03-13;complete;Bayview Hunters Point;8000.0;127.0;364.0;2013
201303142210;otc alterations permit;2013-03-14;2013-03-18;NULL;issued;Pacific Heights;6000.0;4.0;NULL;2013
201303142207;additions alterations or repairs;2013-03-14;2014-09-19;2016-01-21;complete;Chinatown;10000.0;554.0;1043.0;2013
M377947;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Pacific Heights;NULL;0.0;NULL;2013
201303142212;otc alterations permit;2013-03-14;2013-03-14;2013-04-29;complete;North Beach;1.0;0.0;46.0;2013
201303142214;otc alterations permit;2013-03-14;2013-03-14;2013-05-24;complete;Excelsior;1000.0;0.0;71.0;2013
201303142215;otc alterations permit;2013-03-14;2013-03-14;2013-04-02;complete;Pacific Heights;25000.0;0.0;19.0;2013
201303142216;additions alterations or repairs;2013-03-14;2013-08-26;2014-06-02;complete;Pacific Heights;100000.0;165.0;445.0;2013
201303142217;otc alterations permit;2013-03-14;2013-03-14;2013-04-15;complete;Bernal Heights;10000.0;0.0;32.0;2013
M377968;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Inner Sunset;NULL;0.0;NULL;2013
M377987;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Pacific Heights;NULL;0.0;NULL;2013
201303142219;otc alterations permit;2013-03-14;2013-03-14;2013-08-22;complete;Inner Sunset;10000.0;0.0;161.0;2013
201303142218;otc alterations permit;2013-03-14;2013-06-25;2013-06-25;issued;Castro/Upper Market;2800.0;103.0;103.0;2013
201303142221;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Noe Valley;1.0;0.0;NULL;2013
201303142222;otc alterations permit;2013-03-14;2013-03-18;2013-06-27;complete;Financial District/South Beach;120000.0;4.0;105.0;2013
201303142223;otc alterations permit;2013-03-14;2013-03-14;2013-04-18;complete;Tenderloin;4000.0;0.0;35.0;2013
201303142224;otc alterations permit;2013-03-14;2013-03-14;2013-09-17;complete;Inner Richmond;1.0;0.0;187.0;2013
M377967;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Bayview Hunters Point;NULL;0.0;NULL;2013
201303142225;otc alterations permit;2013-03-14;2013-03-14;2013-06-19;complete;Pacific Heights;15000.0;0.0;97.0;2013
M378007;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Castro/Upper Market;NULL;0.0;NULL;2013
201303142226;otc alterations permit;2013-03-14;2013-04-01;2013-05-13;complete;Mission Bay;12000.0;18.0;60.0;2013
201303142227;otc alterations permit;2013-03-14;2013-03-14;2013-07-30;complete;Hayes Valley;1000.0;0.0;138.0;2013
201303142220;otc alterations permit;2013-03-14;2013-03-14;2013-07-19;complete;Haight Ashbury;6000.0;0.0;127.0;2013
201303142228;additions alterations or repairs;2013-03-14;2013-05-21;NULL;issued;Marina;112000.0;68.0;NULL;2013
201303142229;otc alterations permit;2013-03-14;2013-03-14;2013-03-26;complete;Outer Richmond;11000.0;0.0;12.0;2013
201303142230;additions alterations or repairs;2013-03-14;2014-05-19;2014-05-23;complete;Pacific Heights;1.0;431.0;435.0;2013
201303142231;otc alterations permit;2013-03-14;2013-04-09;2013-11-12;complete;Tenderloin;325000.0;26.0;243.0;2013
201303142232;additions alterations or repairs;2013-03-14;2013-04-04;2014-02-04;complete;Pacific Heights;250000.0;21.0;327.0;2013
201303142233;additions alterations or repairs;2013-03-14;2013-08-22;2014-04-30;complete;Castro/Upper Market;1.0;161.0;412.0;2013
M378047;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Tenderloin;NULL;0.0;NULL;2013
201303142234;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;South of Market;12000.0;0.0;NULL;2013
201303142235;otc alterations permit;2013-03-14;2013-03-14;2014-12-10;complete;Outer Richmond;25000.0;0.0;636.0;2013
201303142237;additions alterations or repairs;2013-03-14;NULL;NULL;cancelled;Pacific Heights;40000.0;NULL;NULL;2013
201303142238;otc alterations permit;2013-03-14;2013-03-19;2016-08-02;complete;Outer Richmond;26000.0;5.0;1237.0;2013
201303142236;otc alterations permit;2013-03-14;2013-03-14;2014-01-02;complete;Portola;10000.0;0.0;294.0;2013
201303142239;otc alterations permit;2013-03-14;2013-03-14;2014-01-22;complete;Mission;1.0;0.0;314.0;2013
201303142240;otc alterations permit;2013-03-14;2013-03-14;2013-11-19;complete;Mission;1.0;0.0;250.0;2013
M378067;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Mission;NULL;0.0;NULL;2013
201303142241;otc alterations permit;2013-03-14;2013-03-14;2014-01-22;complete;Mission;1.0;0.0;314.0;2013
201303142242;otc alterations permit;2013-03-14;2013-03-14;2014-01-22;complete;Mission;1.0;0.0;314.0;2013
201303142243;otc alterations permit;2013-03-14;2013-03-14;2013-06-04;complete;North Beach;5000.0;0.0;82.0;2013
201303142244;otc alterations permit;2013-03-14;2013-03-14;2013-07-01;complete;Pacific Heights;90000.0;0.0;109.0;2013
M378087;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Nob Hill;NULL;0.0;NULL;2013
201303142246;otc alterations permit;2013-03-14;2013-03-14;2013-03-28;complete;Excelsior;7000.0;0.0;14.0;2013
201303142245;otc alterations permit;2013-03-14;2013-03-26;2013-10-22;complete;Chinatown;5000.0;12.0;222.0;2013
M378107;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;North Beach;NULL;0.0;NULL;2013
201303142247;otc alterations permit;2013-03-14;2013-03-18;2013-11-18;complete;Outer Richmond;55000.0;4.0;249.0;2013
201303142248;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Oceanview/Merced/Ingleside;1.0;0.0;NULL;2013
201303142249;additions alterations or repairs;2013-03-14;2013-06-13;NULL;issued;Western Addition;16000.0;91.0;NULL;2013
201303142251;otc alterations permit;2013-03-14;2013-03-14;2013-06-03;complete;Glen Park;10000.0;0.0;81.0;2013
M378127;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Mission;NULL;0.0;NULL;2013
M378128;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Chinatown;NULL;0.0;NULL;2013
M378147;otc alterations permit;2013-03-14;2013-03-14;NULL;issued;Inner Sunset;NULL;0.0;NULL;2013
201303152252;otc alterations permit;2013-03-15;2013-03-15;2013-08-14;complete;South of Market;10000.0;0.0;152.0;2013
201303152253;otc alterations permit;2013-03-15;2013-03-15;2013-03-21;complete;South of Market;1.0;0.0;6.0;2013
201303152254;otc alterations permit;2013-03-15;2013-03-15;2015-08-07;complete;Hayes Valley;5000.0;0.0;875.0;2013
201303152256;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Hayes Valley;5000.0;0.0;NULL;2013
201303152255;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Hayes Valley;5000.0;0.0;NULL;2013
201303152257;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Hayes Valley;5000.0;0.0;NULL;2013
201303152258;otc alterations permit;2013-03-15;2013-03-22;2015-12-15;complete;Mission;25000.0;7.0;1005.0;2013
201303152259;otc alterations permit;2013-03-15;2013-03-15;2013-03-19;complete;West of Twin Peaks;10915.0;0.0;4.0;2013
201303152260;otc alterations permit;2013-03-15;2013-03-15;2013-03-26;complete;Glen Park;10115.0;0.0;11.0;2013
201303152262;sign - erect;2013-03-15;2013-03-21;2013-09-11;complete;Lakeshore;2000.0;6.0;180.0;2013
201303152263;sign - erect;2013-03-15;2013-03-21;2013-09-11;complete;Lakeshore;8000.0;6.0;180.0;2013
M378167;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Noe Valley;NULL;0.0;NULL;2013
201303152264;otc alterations permit;2013-03-15;NULL;NULL;filed;Sunset/Parkside;13000.0;NULL;NULL;2013
201303152265;otc alterations permit;2013-03-15;2013-03-15;2013-03-27;complete;Mission;16000.0;0.0;12.0;2013
201303152266;otc alterations permit;2013-03-15;2013-03-15;2013-05-31;complete;Mission;2200.0;0.0;77.0;2013
201303152267;otc alterations permit;2013-03-15;NULL;NULL;filed;Financial District/South Beach;1.0;NULL;NULL;2013
201303152268;otc alterations permit;2013-03-15;2013-03-29;2013-04-08;complete;Marina;6000.0;14.0;24.0;2013
201303152269;otc alterations permit;2013-03-15;2013-03-15;2013-04-03;complete;Mission;7110.0;0.0;19.0;2013
201303152270;otc alterations permit;2013-03-15;2013-03-15;2013-04-17;complete;Financial District/South Beach;10794.0;0.0;33.0;2013
M378187;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Chinatown;NULL;0.0;NULL;2013
201303152271;otc alterations permit;2013-03-15;2013-03-22;2013-10-17;complete;Sunset/Parkside;70000.0;7.0;216.0;2013
201303152273;otc alterations permit;2013-03-15;2013-03-15;2013-06-24;complete;West of Twin Peaks;7210.0;0.0;101.0;2013
201303152272;otc alterations permit;2013-03-15;2013-03-15;2013-07-05;complete;Chinatown;24500.0;0.0;112.0;2013
201303152274;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Financial District/South Beach;2500.0;0.0;NULL;2013
201303152275;otc alterations permit;2013-03-15;2013-03-15;2013-05-15;complete;Chinatown;57000.0;0.0;61.0;2013
201303152276;otc alterations permit;2013-03-15;2013-03-15;2013-08-23;complete;South of Market;1.0;0.0;161.0;2013
M378247;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Marina;NULL;0.0;NULL;2013
201303152277;otc alterations permit;2013-03-15;2013-03-15;2013-03-18;complete;Mission;1.0;0.0;3.0;2013
201303152278;otc alterations permit;2013-03-15;2013-03-25;2013-04-19;complete;Hayes Valley;10200.0;10.0;35.0;2013
201303152280;otc alterations permit;2013-03-15;2013-03-15;2013-04-25;complete;Portola;13000.0;0.0;41.0;2013
201303152279;otc alterations permit;2013-03-15;2013-03-15;2013-06-21;complete;Russian Hill;1.0;0.0;98.0;2013
201303152281;otc alterations permit;2013-03-15;2013-03-22;2013-07-01;complete;Sunset/Parkside;3000.0;7.0;108.0;2013
201303152282;additions alterations or repairs;2013-03-15;2013-06-27;2013-07-08;complete;Mission;4000.0;104.0;115.0;2013
201303152284;otc alterations permit;2013-03-15;2013-03-15;NULL;expired;South of Market;7000.0;0.0;NULL;2013
201303152285;otc alterations permit;2013-03-15;2013-03-28;2013-12-04;complete;Outer Richmond;1.0;13.0;264.0;2013
201303152286;otc alterations permit;2013-03-15;2013-03-15;2014-04-02;complete;Pacific Heights;150.0;0.0;383.0;2013
201303152288;otc alterations permit;2013-03-15;2013-03-18;NULL;issued;Noe Valley;10000.0;3.0;NULL;2013
201303152287;otc alterations permit;2013-03-15;2013-04-09;2013-08-08;complete;Financial District/South Beach;400000.0;25.0;146.0;2013
201303152289;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Excelsior;20000.0;0.0;NULL;2013
201303152291;otc alterations permit;2013-03-15;2013-03-19;2013-05-14;complete;Financial District/South Beach;30000.0;4.0;60.0;2013
201303152290;additions alterations or repairs;2013-03-15;2014-03-04;2015-12-03;complete;Potrero Hill;300000.0;354.0;993.0;2013
201303152292;otc alterations permit;2013-03-15;2013-04-11;2013-08-01;complete;Mission Bay;100000.0;27.0;139.0;2013
201303152293;otc alterations permit;2013-03-15;2013-03-19;2013-08-06;complete;West of Twin Peaks;21000.0;4.0;144.0;2013
201303152294;otc alterations permit;2013-03-15;2013-03-19;2013-08-21;complete;Financial District/South Beach;500.0;4.0;159.0;2013
201303152295;otc alterations permit;2013-03-15;2013-03-15;2013-07-03;complete;Mission;4000.0;0.0;110.0;2013
201303152296;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Portola;4500.0;0.0;NULL;2013
201303152297;otc alterations permit;2013-03-15;2013-03-15;2013-03-29;complete;Marina;1.0;0.0;14.0;2013
201303152299;otc alterations permit;2013-03-15;2013-03-18;NULL;expired;Outer Richmond;20000.0;3.0;NULL;2013
201303152298;otc alterations permit;2013-03-15;2013-03-15;2013-04-15;complete;Tenderloin;500.0;0.0;31.0;2013
M378287;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Mission Bay;NULL;0.0;NULL;2013
M378288;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Presidio Heights;NULL;0.0;NULL;2013
201303152300;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;West of Twin Peaks;13600.0;0.0;NULL;2013
201303152301;otc alterations permit;2013-03-15;2013-03-15;2013-08-16;complete;Pacific Heights;9500.0;0.0;154.0;2013
201303152302;otc alterations permit;2013-03-15;2013-04-15;2013-12-05;complete;Nob Hill;233000.0;31.0;265.0;2013
M378307;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Financial District/South Beach;NULL;0.0;NULL;2013
201303152303;otc alterations permit;2013-03-15;2013-03-19;2013-04-17;complete;Outer Richmond;11940.0;4.0;33.0;2013
201303152304;otc alterations permit;2013-03-15;2013-03-15;2014-04-25;complete;Sunset/Parkside;1000.0;0.0;406.0;2013
201303152306;otc alterations permit;2013-03-15;2013-03-18;2014-01-13;complete;Mission;92000.0;3.0;304.0;2013
201303152307;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Nob Hill;20000.0;0.0;NULL;2013
201303152308;otc alterations permit;2013-03-15;2013-04-12;NULL;expired;Sunset/Parkside;3000.0;28.0;NULL;2013
201303152305;otc alterations permit;2013-03-15;2013-03-15;2013-04-26;complete;Lone Mountain/USF;3500.0;0.0;42.0;2013
201303152309;otc alterations permit;2013-03-15;2013-03-18;NULL;issued;Financial District/South Beach;1.0;3.0;NULL;2013
201303152310;otc alterations permit;2013-03-15;2013-03-15;NULL;issued;Lone Mountain/USF;4200.0;0.0;NULL;2013
201303152311;otc alterations permit;2013-03-15;2013-04-01;2013-09-11;complete;Financial District/South Beach;50000.0;17.0;180.0;2013
